timestamp,TJ-00CB-00000483-0000,TJ-00CB-0000048A-0000,TJ-00CB-00000480-0000,TJ-00CB-00000481-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000482-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000486-0000,TJ-00CB-0000047F-0000,TJ-00CB-00000488-0000,TJ-00CB-00000477-0000
1763545029356,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029382,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029407,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029433,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029458,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029484,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029509,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029534,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029559,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029584,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029609,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029634,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029659,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029684,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029710,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029735,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029761,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029785,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029811,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545029836,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545029861,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545029886,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545029911,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545029936,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545029961,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545029987,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030013,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030038,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030063,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030088,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030113,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030138,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030163,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030189,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030214,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030239,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030264,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030289,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030314,-100,-84,-80,-100,-100,-50,-100,-100,-100,-100,-100
1763545030339,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030364,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030389,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030414,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030440,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030465,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030491,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030516,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030541,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030567,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030592,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030617,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030642,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030667,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030693,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030717,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030742,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030767,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030792,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030817,-86,-81,-77,-100,-100,-52,-100,-100,-100,-100,-100
1763545030842,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545030867,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545030893,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545030917,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545030943,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545030967,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545030993,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031018,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031043,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031069,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031095,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031120,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031145,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031170,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031195,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031221,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031245,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031270,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031295,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031320,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1763545031345,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031371,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031396,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031421,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031447,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031472,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031497,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031522,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031547,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031572,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031597,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031622,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031647,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031672,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031697,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031722,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031747,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031772,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031798,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031822,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1763545031847,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545031872,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545031897,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545031922,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545031947,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545031972,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545031997,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032022,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032047,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032072,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032097,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032122,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032147,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032172,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032197,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
1763545032222,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
