timestamp,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000486-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000
1763545166867,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545166892,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545166917,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545166942,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545166967,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545166992,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167017,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167042,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167067,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167092,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167118,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167143,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167168,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167193,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167219,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167244,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167269,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167294,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167319,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545167344,-100,-79,-69,-79,-100,-78,-77,-100,-100,-74,-100
1763545167370,-100,-79,-69,-79,-100,-78,-77,-100,-100,-74,-100
1763545167395,-100,-79,-69,-79,-100,-78,-77,-100,-100,-74,-100
1763545167420,-100,-79,-69,-79,-100,-78,-77,-100,-100,-74,-100
1763545167445,-100,-79,-69,-79,-100,-78,-77,-100,-100,-74,-100
