timestamp,TJ-00CB-0000047D-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000048A-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000,TJ-00CB-00000486-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000488-0000
1763545244980,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245005,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245030,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245055,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245080,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245105,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245130,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245155,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245180,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245205,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245230,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245255,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245280,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245305,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245330,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245355,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245380,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245406,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245431,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545245456,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245481,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245507,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245532,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245557,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245583,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245608,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245634,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245659,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245684,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245709,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245734,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245760,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245785,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245811,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245835,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245861,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245886,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245913,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245937,-100,-76,-100,-100,-100,-100,-100,-59,-100,-100,-67
1763545245962,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545245988,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246013,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246038,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246063,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246088,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246113,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246138,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246164,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246189,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246214,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246239,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246264,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246289,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246314,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246339,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246364,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246389,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246414,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246439,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
1763545246464,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246489,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246514,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246539,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246564,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246589,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246615,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246640,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246665,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246690,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246715,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246740,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246765,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246791,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246817,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246843,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246870,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246894,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246919,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246944,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
1763545246969,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545246994,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247019,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247044,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247070,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247095,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247120,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247145,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247170,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247195,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247221,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247245,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247270,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247296,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247320,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247345,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247370,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247395,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247420,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247445,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1763545247470,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247495,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247520,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247545,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247570,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247595,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247621,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247645,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247670,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247695,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247720,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247745,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247770,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247796,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247821,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247846,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
1763545247872,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
