timestamp,TJ-00CB-00000486-0000,TJ-00CB-00000483-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000481-0000,TJ-00CB-00000480-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000048A-0000
1763545337001,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337026,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337051,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337076,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337101,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337152,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337177,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337202,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337227,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337253,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337278,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337303,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337329,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337354,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337379,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337404,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337430,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337456,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337482,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1763545337507,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337533,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337558,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337584,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337609,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337634,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337659,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337684,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337709,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337734,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337759,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337784,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337810,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337834,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337860,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337885,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337910,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337935,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337961,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545337985,-100,-100,-58,-100,-100,-100,-100,-100,-81,-100,-88
1763545338010,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338035,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338060,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338086,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338111,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338137,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338162,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338187,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338213,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338238,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338263,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338288,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338313,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338338,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338363,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338388,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338414,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338439,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338464,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338489,-100,-100,-57,-100,-100,-100,-100,-100,-81,-100,-87
1763545338514,-100,-84,-55,-100,-100,-100,-100,-100,-80,-100,-83
1763545338539,-100,-84,-55,-100,-100,-100,-100,-100,-80,-100,-83
1763545338564,-100,-84,-55,-100,-100,-100,-100,-100,-80,-100,-83
1763545338589,-100,-84,-55,-100,-100,-100,-100,-100,-80,-100,-83
1763545338614,-100,-84,-55,-100,-100,-100,-100,-100,-80,-100,-83
