Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Orient_X,Orient_Y,Orient_Z,Pressure,Lat,Lng,Alt,Speed
2026-03-20 21:56:51.220,1.6606189,6.2931237,6.2309103,0.04734202,0.70921403,0.2254091,-29.94375,-16.237501,-37.0875,0.28439936,0.18767557,0.62347275,1004.30096,37.88749322,127.73736995,175.69464111328125,0.0
2026-03-20 21:56:51.240,1.1676974,6.3218374,7.111469,-0.28741187,0.70677054,-0.048258316,-30.16875,-16.3875,-36.768753,0.2767108,0.19468173,0.6282635,1004.30096, , , , 
2026-03-20 21:56:51.260,0.28713873,6.5850477,7.479964,-0.535423,0.46853328,-0.049480047,-30.35625,-16.181252,-36.768753,0.27015135,0.1970183,0.6302388,1004.3022, , , , 
2026-03-20 21:56:51.280,-0.10049855,6.63769,7.537391,-0.79442966,0.16798781,0.07513637,-30.112501,-15.900001,-37.0125,0.26344183,0.19617128,0.632301,1004.3022, , , , 
2026-03-20 21:56:51.300,-0.4211368,6.4558353,8.599805,-0.9813543,-0.23396121,0.23640467,-29.6625,-15.450001,-37.48125,0.25726515,0.19100344,0.63490427,1004.3022, , , , 
2026-03-20 21:56:51.320,-0.36370903,6.4558353,9.092726,-0.9618066,-0.6236929,0.45875946,-29.493752,-14.906251,-38.100002,0.25304747,0.18159322,0.63781357,1004.3022, , , , 
2026-03-20 21:56:51.340,0.5455636,6.2644095,8.255239,-0.93981546,-0.6688969,0.72631824,-29.41875,-14.512501,-38.475002,0.25125512,0.16979386,0.64149976,1004.30646, , , , 
2026-03-20 21:56:51.360,1.4691931,5.723632,7.1449685,-1.0387756,-0.36102107,0.78984815,-29.60625,-13.9875,-38.775,0.24972495,0.15756504,0.64682275,1004.30646, , , , 
2026-03-20 21:56:51.380,1.8999012,6.498906,8.403593,-1.1951569,0.22296564,0.62857985,-30.187502,-13.44375,-39.05625,0.24468328,0.1473057,0.65323883,1004.30646, , , , 
2026-03-20 21:56:51.400,-1.2394822,6.4414787,9.729217,-1.163392,0.5882628,0.61147565,-31.031252,-12.8625,-39.1875,0.23503421,0.14061415,0.6598637,1004.30646, , , , 
2026-03-20 21:56:51.420,-0.91405827,6.0825553,10.19821,-0.937372,0.6994402,0.95111644,-31.837502,-12.093751,-39.2625,0.22412737,0.13620533,0.66768515,1004.3092, , , , 
2026-03-20 21:56:51.440,-0.8422736,5.6997037,10.0163555,-0.6319396,1.2870921,1.241888,-32.568752,-11.26875,-39.46875,0.21363176,0.13434795,0.6777216,1004.3092, , , , 
2026-03-20 21:56:51.461,0.79920274,4.9340005,9.193225,-0.19211698,1.499673,1.3860521,-32.86875,-9.8625,-40.256252,0.20014967,0.13904351,0.6932659,1004.3092, , , , 
2026-03-20 21:56:51.480,0.8805587,3.8955152,7.987242,-0.094378605,2.3890922,1.246775,-32.775,-9.375,-40.65,0.19180629,0.14514498,0.70279926,1004.3092, , , , 
2026-03-20 21:56:51.500,1.6845472,4.354937,8.159525,-0.09315688,3.4483316,0.92301667,-32.41875,-8.400001,-41.775,0.17417672,0.15971895,0.7156486,1004.31134, , , , 
2026-03-20 21:56:51.520,0.9810573,4.369294,9.126225,0.109650224,4.61264,0.40989026,-31.275002,-7.4625,-43.0875,0.14851448,0.18223272,0.7270292,1004.31134, , , , 
2026-03-20 21:56:51.540,-1.6606189,2.8713872,8.628518,0.2623664,5.5460415,-0.38789913,-29.025002,-6.8812504,-44.268753,0.113767244,0.21476099,0.73440355,1004.31134, , , , 
2026-03-20 21:56:51.560,-3.5413775,3.211168,7.2646093,0.008246674,4.6138616,-0.7666353,-25.368752,-6.3562503,-45.375,0.07391702,0.25051817,0.7354468,1004.31134, , , , 
2026-03-20 21:56:51.580,-3.9433718,3.3260236,6.814759,-0.65881765,1.6865977,-0.51373726,-20.625,-5.6062503,-46.068752,0.04301557,0.27308384,0.7336888,1004.3309, , , , 
2026-03-20 21:56:51.600,-4.6325045,2.8666015,6.1160545,-1.3881903,-1.1282673,-0.25961754,-15.825001,-4.875,-46.331253,0.029667597,0.27259153,0.733596,1004.3309, , , , 
2026-03-20 21:56:51.622,-0.6412765,1.7515461,5.3312087,-2.0198245,-3.5130835,-0.03970621,-10.837501,-3.4875002,-46.443752,0.032383163,0.24976571,0.73575366,1004.3309, , , , 
2026-03-20 21:56:51.640,0.15314065,2.143969,5.5657053,-2.2617269,-3.8380635,-0.032375835,-10.06875,-2.98125,-46.425003,0.046771597,0.21053547,0.7389621,1004.3309, , , , 
2026-03-20 21:56:51.660,-0.5838487,2.6943183,7.7479596,-2.287383,-1.3066398,-0.11056653,-9.975,-1.8937501,-46.36875,0.056156937,0.1728651,0.7412901,1004.3449, , , , 
2026-03-20 21:56:51.680,0.6412765,1.9142581,7.331609,-2.248288,-0.12156209,-0.3866774,-11.45625,-0.46875003,-46.18125,0.047731128,0.1503115,0.74352485,1004.3449, , , , 
2026-03-20 21:56:51.700,-0.9523434,0.2727818,8.9348,-2.1957533,-0.7470876,-0.7629701,-13.725,1.3687501,-45.73125,0.034221943,0.13226259,0.7431601,1004.3449, , , , 
2026-03-20 21:56:51.720,-0.79441714,0.89013004,13.663017,-1.9758421,-2.4379613,-0.77518743,-16.06875,3.3750002,-45.318752,0.028071932,0.108140856,0.7403387,1004.3449, , , , 
2026-03-20 21:56:51.740,-1.9094725,-1.2634103,14.964713,-1.2244785,-5.5362673,-0.7849612,-18.018751,5.3812504,-44.98125,0.040815473,0.071980126,0.7356881,1004.3502, , , , 
2026-03-20 21:56:51.760,1.6271194,-0.8422736,12.256038,-0.309403,-6.0066333,-1.1087196,-19.66875,7.1625004,-44.41875,0.076048195,0.02542864,0.72718245,1004.3502, , , , 
2026-03-20 21:56:51.780,6.4175506,0.8805587,11.270195,0.616668,-3.6034913,-1.965152,-21.4125,8.45625,-43.5,0.11420837,-0.010469878,0.71280086,1004.3502, , , , 
2026-03-20 21:56:51.800,1.3016955,1.2059826,9.934999,1.3704752,-0.21441354,-1.861305,-24.73125,9.28125,-40.987503,0.13966578,-0.020339735,0.69450456,1004.3502, , , , 
