Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Orient_X,Orient_Y,Orient_Z,Pressure,Lat,Lng,Alt,Speed
2025-11-24 19:35:40.157,-2.9829526,2.341377,8.719446,-0.07780667,0.29244313,-0.20562646,-18.65625,-5.3625,-50.11875,0.18859491,-0.003737504,-0.6022677,1002.04346,37.88752584,127.74003252,143.9241943359375,1.21
2025-11-24 19:35:40.177,-2.5642085,3.2440693,9.650553,-0.31298286,-0.15164283,0.0381016,-18.431252,-5.3250003,-50.062504,0.18346758,5.865945E-4,-0.60215145,1002.03955, , , , 
2025-11-24 19:35:40.197,-2.4107687,3.0858438,8.939586,-0.2616717,-0.24571331,-0.09078717,-18.16875,-5.34375,-50.11875,0.18116951,8.2637224E-4,-0.6022853,1002.03613, , , , 
2025-11-24 19:35:40.217,-2.4035904,3.2560334,8.3219385,-0.420492,-0.39414918,-0.19524206,-18.28125,-5.15625,-50.193752,0.17623393,5.1499833E-4,-0.60384816,1002.03613, , , , 
2025-11-24 19:35:40.237,-2.801098,3.7564325,9.755837,-0.5292228,-0.38987327,-0.36994436,-18.337502,-4.8375,-50.5125,0.1705287,7.980258E-4,-0.60619396,1002.0259, , , , 
2025-11-24 19:35:40.257,-2.1834507,3.7995033,9.655338,-0.48096585,-0.58595526,-0.7621083,-18.862501,-4.96875,-50.437504,0.16450243,0.0015272012,-0.6100869,1002.0259, , , , 
2025-11-24 19:35:40.277,-0.72771716,3.1627133,8.494222,-0.7063685,-0.9738432,-1.1439642,-19.1625,-4.7250004,-50.156254,0.15339279,-2.8113273E-4,-0.6198052,1002.0198, , , , 
2025-11-24 19:35:40.297,-1.4246268,2.3509483,8.439186,-1.1877925,-0.9768975,-1.0572239,-20.00625,-4.5,-50.11875,0.14031282,-3.1115804E-4,-0.62978566,1002.0198, , , , 
2025-11-24 19:35:40.317,-2.827419,1.9944177,10.718349,-1.1621369,-1.2878951,-0.6240568,-20.643751,-4.51875,-49.781254,0.12471323,3.72028E-4,-0.6378903,1002.01465, , , , 
2025-11-24 19:35:40.338,-1.7907287,1.16351,11.297712,-0.37345675,-2.1992793,-0.23006035,-21.4125,-4.0875,-49.425003,0.10783718,-0.0073333886,-0.64301175,1002.01465, , , , 
2025-11-24 19:35:40.357,-0.2321038,0.933799,10.940883,0.19402036,-2.3654296,-0.09567395,-22.575,-3.7125,-49.050003,0.09282472,-0.023106616,-0.64651436,1002.02856, , , , 
2025-11-24 19:35:40.377,0.22731815,1.311865,11.266605,0.5348731,-2.2463145,0.112624966,-23.625,-3.3375,-48.412502,0.08032796,-0.042461675,-0.6487601,1002.02856, , , , 
2025-11-24 19:35:40.397,0.41904306,0.9529416,11.182857,0.8574005,-1.5395641,0.2940466,-25.500002,-2.9437501,-47.325,0.07257976,-0.061309345,-0.64897484,1002.0315, , , , 
2025-11-24 19:35:40.417,0.16749759,1.2400804,11.039288,0.23616882,1.4689349,0.58297735,-27.225,-3.0,-46.29375,0.07824258,-0.062116634,-0.6465882,1002.0315, , , , 
2025-11-24 19:35:40.437,-0.6583253,1.7811574,9.873384,0.28870168,1.5263546,0.9806389,-28.875002,-3.1125002,-45.2625,0.08888429,-0.053511597,-0.6399226,1002.0359, , , , 
2025-11-24 19:35:40.457,0.39750767,2.0685952,8.23101,0.32046574,1.1470184,1.004462,-29.362501,-3.2062502,-44.86875,0.098725304,-0.046711247,-0.63096035,1002.0359, , , , 
2025-11-24 19:35:40.477,-0.35443684,2.1571295,7.888538,0.28442577,0.5746546,0.82487285,-28.650002,-3.24375,-45.487503,0.105756275,-0.04298986,-0.6227325,1002.0454, , , , 
2025-11-24 19:35:40.497,-0.6367899,3.0020952,8.223832,0.3497864,0.07375981,0.7271373,-27.4125,-2.8312502,-46.4625,0.10990267,-0.04311837,-0.6159306,1002.0454, , , , 
2025-11-24 19:35:40.517,0.0023928226,2.9422746,8.973084,0.5263213,-0.35444412,0.42660046,-25.7625,-2.60625,-47.662502,0.11231368,-0.047170486,-0.6105658,1002.0498, , , , 
2025-11-24 19:35:40.537,0.48125646,3.0810583,8.398508,0.63993883,-0.58473355,0.1156792,-24.6375,-2.1937501,-48.412502,0.1138027,-0.054842554,-0.6078916,1002.0498, , , , 
2025-11-24 19:35:40.557,0.5075775,2.9997022,8.278867,0.55197686,-0.45706648,-0.104225814,-24.2625,-1.7437501,-48.750004,0.115391046,-0.06277357,-0.6075955,1002.0471, , , , 
2025-11-24 19:35:40.577,0.325723,2.3940191,8.786445,0.26487863,-0.38742986,-0.28076068,-24.206251,-1.5187501,-48.843754,0.116487265,-0.06977167,-0.60941434,1002.0471, , , , 
2025-11-24 19:35:40.597,-0.59611195,2.0087745,8.846265,-0.086969376,-0.38742986,-0.21845426,-24.375002,-2.04375,-48.693752,0.11480111,-0.07291593,-0.61195046,1002.04614, , , , 
2025-11-24 19:35:40.617,-0.6678966,2.3246272,8.652147,-0.5493808,-0.06306998,-0.041308545,-24.675001,-2.4,-48.3375,0.11097578,-0.07261491,-0.61380184,1002.04614, , , , 
2025-11-24 19:35:40.637,0.62721866,2.243271,7.66122,-0.83647895,-0.27564484,-0.053525493,-24.88125,-2.8312502,-48.018753,0.10559347,-0.06913922,-0.61463386,1002.03955, , , , 
2025-11-24 19:35:40.657,1.2281163,3.0260234,8.202297,-1.0679901,-0.8596148,-0.21662171,-25.725,-3.43125,-47.4,0.09524056,-0.0676404,-0.61608434,1002.03955, , , , 
2025-11-24 19:35:40.677,1.556232,2.5283163,9.61466,-1.0857047,-1.2408599,-0.54403585,-26.212502,-2.8875,-47.025,0.081068575,-0.069092676,-0.6195924,1002.0425, , , , 
2025-11-24 19:35:40.697,1.1012967,1.7333009,10.92174,-0.96292436,-1.3031663,-0.71079713,-26.94375,-2.4375,-46.706253,0.0620843,-0.07309787,-0.62720937,1002.0425, , , , 
2025-11-24 19:35:40.717,1.1156535,1.5873387,10.491032,-0.4479801,-0.41675055,-0.43530503,-28.125002,-2.1937501,-45.99375,0.051002856,-0.07555527,-0.63347244,1002.03906, , , , 
2025-11-24 19:35:40.737,1.1778669,1.2065809,11.094322,0.16531055,0.600921,-0.1622563,-29.250002,-1.8937501,-45.2625,0.051626697,-0.0731104,-0.63638425,1002.03906, , , , 
2025-11-24 19:35:40.757,0.44057846,1.5394822,10.091131,0.55991787,1.1671764,0.07108735,-30.4125,-1.6875001,-44.2125,0.06018255,-0.068632975,-0.63646317,1002.0454, , , , 
2025-11-24 19:35:40.777,0.325723,1.7955143,9.416057,0.6008446,1.2410889,0.16149275,-30.956251,-1.7625,-43.96875,0.06887783,-0.06468456,-0.6352057,1002.0454, , , , 
2025-11-24 19:35:40.797,0.3687938,2.516053,9.040084,0.56602633,1.4011309,0.18531579,-30.91875,-1.9687501,-43.66875,0.08376039,-0.0576318,-0.6318103,1002.0383, , , , 
2025-11-24 19:35:40.817,-0.15553348,2.691028,8.640183,0.48967043,1.5513994,0.08269345,-30.16875,-1.9875001,-44.325,0.09683471,-0.050140608,-0.629045,1002.0383, , , , 
2025-11-24 19:35:40.837,-0.99601245,2.571387,8.37458,0.2618244,1.0914314,-0.10605835,-28.743752,-2.3625002,-45.09375,0.108743235,-0.04207045,-0.6268891,1002.04175, , , , 
2025-11-24 19:35:40.857,-1.3956138,2.231307,8.472686,0.051692948,0.29610822,-0.34673217,-27.300001,-2.71875,-45.693752,0.11627841,-0.035949584,-0.6269168,1002.04175, , , , 
2025-11-24 19:35:40.877,-1.4557334,2.015953,9.286844,0.04497363,-0.29580277,-0.3846047,-26.025002,-2.5687501,-46.050003,0.11615115,-0.036055863,-0.62956566,1002.03784, , , , 
2025-11-24 19:35:40.897,-1.1156535,2.193022,9.58834,0.24288814,-0.38315395,-0.2770956,-24.825,-2.8875,-46.331253,0.11525535,-0.03920716,-0.63249874,1002.03784, , , , 
2025-11-24 19:35:40.917,-0.933799,2.2839491,9.705587,0.39315656,-0.31840414,-0.12499462,-24.35625,-3.1312501,-46.575,0.115683965,-0.04367468,-0.63445204,1002.0388, , , , 
2025-11-24 19:35:40.937,-0.8596215,2.5232315,9.712767,0.27648473,-0.39109495,-0.037032615,-24.056252,-3.3375,-46.6875,0.11619781,-0.048350904,-0.63544774,1002.0388, , , , 
2025-11-24 19:35:40.957,-0.7492526,2.9183464,9.68166,0.09933904,-0.44118443,-0.040697698,-24.018751,-3.7500002,-47.100002,0.11515991,-0.05251533,-0.6360828,1002.03174, , , , 
2025-11-24 19:35:40.977,-0.45972106,3.2368908,9.729516,0.022983128,-0.64398575,-0.1750841,-24.16875,-3.9750001,-46.93125,0.11174153,-0.057750057,-0.6374038,1002.03174, , , , 
2025-11-24 19:35:40.997,-0.19381863,3.289533,9.74148,-0.013667707,-0.6476508,-0.30030778,-24.431252,-4.2375,-47.0625,0.10790802,-0.06259677,-0.63970846,1002.0293, , , , 
2025-11-24 19:35:41.017,0.28265217,3.2009985,9.851849,-0.13156123,-0.24143738,-0.31008133,-25.10625,-4.6687503,-47.287502,0.104782514,-0.06553015,-0.64263934,1002.0293, , , , 
2025-11-24 19:35:41.037,0.22971097,2.7101707,10.028918,-0.20974968,0.08719844,-0.22028679,-26.118752,-5.0625,-46.912502,0.10323544,-0.064945646,-0.6451118,1002.031, , , , 
2025-11-24 19:35:41.057,0.17228323,3.1004999,10.153345,-0.092467,0.21120045,0.22379917,-27.187502,-5.8500004,-46.59375,0.10270776,-0.06331587,-0.6454233,1002.031, , , , 
2025-11-24 19:35:41.077,-0.53389853,2.7699914,9.545269,-0.090634465,0.5318953,-0.014431266,-27.956251,-6.39375,-45.43125,0.10501098,-0.06010187,-0.6438955,1002.03613, , , , 
2025-11-24 19:35:41.097,-0.88354975,2.5331018,9.238688,-0.25495237,0.53311694,-0.12682717,-28.25625,-6.61875,-44.175003,0.107153684,-0.055109374,-0.6438224,1002.03613, , , , 
2025-11-24 19:35:41.117,-1.2496517,1.8720846,9.957133,-0.29710084,0.308936,-0.08162446,-27.862501,-6.6937504,-43.443752,0.108065546,-0.04860139,-0.6443643,1002.0386, , , , 
2025-11-24 19:35:41.137,-1.3453646,1.6160526,10.455139,-0.14011309,0.20325942,-0.08284616,-26.962502,-6.3375,-42.975002,0.10802153,-0.045265708,-0.6447656,1002.0386, , , , 
2025-11-24 19:35:41.157,-1.3310076,1.50359,10.3017,-0.057037864,0.26312247,-0.010766183,-26.325,-5.9812503,-43.256252,0.10869613,-0.04287421,-0.64512694,1002.0449,37.88752584,127.74003252,143.9241943359375,1.21
